index,Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Minutes,Price_Normalized,Is_Morning_Flight,Is_International,Route_ID
0,Jet Airways,2019-01-03,Banglore,New Delhi,11:40:00,13h 5m,1,No info,26890,785,3.860669975035294,True,False,Banglore_New Delhi
1,SpiceJet,2019-01-03,Banglore,New Delhi,15:35:00,8h 5m,1,1 Long layover,7744,485,-0.29125124978985384,False,False,Banglore_New Delhi
2,Jet Airways,2019-01-03,Banglore,New Delhi,08:00:00,12h 20m,1,No info,27992,740,4.099645071126243,True,False,Banglore_New Delhi
3,Air India,2019-01-03,Banglore,New Delhi,08:50:00,39h 5m,2,No info,17135,2345,1.7452416062810208,True,False,Banglore_New Delhi
4,Jet Airways,2019-01-03,Banglore,New Delhi,11:40:00,23h 45m,1,No info,25735,1425,3.6102015213283556,True,False,Banglore_New Delhi
5,Air India,2019-01-03,Banglore,New Delhi,10:30:00,10h 55m,2,No info,11213,655,0.4610215345472629,True,False,Banglore_New Delhi
6,Air India,2019-01-03,Banglore,New Delhi,10:30:00,7h 15m,2,Change airports,17461,435,1.8159365984095592,True,False,Banglore_New Delhi
7,Air India,2019-01-03,Banglore,New Delhi,05:50:00,30h 25m,3,No info,12346,1825,0.7067191605645455,True,False,Banglore_New Delhi
8,Jet Airways,2019-01-03,Banglore,New Delhi,08:00:00,23h 40m,1,No info,22270,1420,2.8587961602075396,True,False,Banglore_New Delhi
9,IndiGo,2019-01-03,Chennai,Kolkata,07:55:00,2h 20m,0,No info,8580,140,-0.1099597975829269,True,False,Chennai_Kolkata
10,Air India,2019-01-03,Delhi,Cochin,09:45:00,22h 30m,1,No info,22798,1350,2.973296024759283,True,False,Delhi_Cochin
11,IndiGo,2019-01-03,Chennai,Kolkata,13:20:00,2h 15m,0,No info,7295,135,-0.38861950581965077,False,False,Chennai_Kolkata
12,Air India,2019-01-03,Banglore,New Delhi,05:50:00,16h 20m,2,Change airports,13366,980,0.9279120807213225,True,False,Banglore_New Delhi
13,IndiGo,2019-01-03,Kolkata,Banglore,15:10:00,2h 35m,0,No info,6565,155,-0.546924242794599,False,False,Kolkata_Banglore
14,IndiGo,2019-01-03,Mumbai,Hyderabad,16:55:00,1h 30m,0,No info,8853,90,-0.050758163070377775,False,False,Mumbai_Hyderabad
15,SpiceJet,2019-01-03,Kolkata,Banglore,22:20:00,2h 20m,0,No info,5515,140,-0.774622837073634,False,False,Kolkata_Banglore
16,Air India,2019-01-03,Banglore,New Delhi,11:50:00,21h 5m,1,1 Long layover,14594,1265,1.1942110081257558,True,False,Banglore_New Delhi
17,IndiGo,2019-01-03,Chennai,Kolkata,11:35:00,2h 25m,0,No info,7900,145,-0.2574217443541115,True,False,Chennai_Kolkata
18,Air India,2019-01-03,Delhi,Cochin,04:00:00,27h 40m,1,No info,28322,1660,4.171207486471083,False,False,Delhi_Cochin
19,Air India,2019-01-03,Banglore,New Delhi,10:30:00,12h 25m,1,No info,11003,745,0.4154818156914559,True,False,Banglore_New Delhi
20,Jet Airways,2019-01-03,Banglore,New Delhi,16:55:00,14h 45m,1,1 Long layover,26890,885,3.860669975035294,False,False,Banglore_New Delhi
21,Air Asia,2019-01-03,Banglore,New Delhi,05:50:00,2h 50m,0,No info,10715,170,0.35302734411777775,True,False,Banglore_New Delhi
22,Air India,2019-01-03,Banglore,New Delhi,17:00:00,2h 45m,0,No info,25913,165,3.6488018544537537,False,False,Banglore_New Delhi
23,Jet Airways,2019-01-03,Banglore,New Delhi,11:40:00,6h 45m,1,No info,26890,405,3.860669975035294,True,False,Banglore_New Delhi
24,Air India,2019-01-03,Banglore,New Delhi,00:30:00,23h 25m,1,1 Long layover,12599,1405,0.7615836789955892,False,False,Banglore_New Delhi
25,Air India,2019-01-03,Banglore,New Delhi,05:50:00,29h 30m,4,Change airports,17686,1770,1.8647291543264952,True,False,Banglore_New Delhi
26,Air India,2019-01-03,Mumbai,Hyderabad,13:55:00,1h 30m,0,No info,10082,90,0.21575762013813088,False,False,Mumbai_Hyderabad
27,Vistara,2019-01-03,Banglore,New Delhi,06:40:00,15h 15m,1,No info,18387,915,2.0167450729832606,True,False,Banglore_New Delhi
28,Jet Airways,2019-01-03,Banglore,New Delhi,11:40:00,22h 45m,1,No info,25735,1365,3.6102015213283556,True,False,Banglore_New Delhi
29,Jet Airways,2019-01-03,Banglore,New Delhi,07:00:00,6h 15m,1,No info,26890,375,3.860669975035294,True,False,Banglore_New Delhi
30,IndiGo,2019-01-03,Banglore,New Delhi,19:35:00,5h,1,No info,22153,300,2.833424031130733,False,False,Banglore_New Delhi
31,Jet Airways,2019-01-03,Banglore,New Delhi,16:55:00,17h 30m,1,1 Long layover,25735,1050,3.6102015213283556,False,False,Banglore_New Delhi
32,Air India,2019-01-03,Banglore,New Delhi,06:45:00,5h 30m,1,No info,23677,330,3.163912276541447,True,False,Banglore_New Delhi
33,Jet Airways,2019-01-03,Banglore,New Delhi,14:05:00,18h 10m,1,No info,22270,1090,2.8587961602075396,False,False,Banglore_New Delhi
34,Jet Airways,2019-01-03,Banglore,New Delhi,14:05:00,20h 20m,1,No info,20800,1220,2.5400181282168908,False,False,Banglore_New Delhi
35,Jet Airways,2019-01-03,Banglore,New Delhi,11:40:00,21h 50m,1,No info,25735,1310,3.6102015213283556,True,False,Banglore_New Delhi
36,Jet Airways,2019-01-03,Banglore,New Delhi,07:00:00,9h 10m,1,No info,26890,550,3.860669975035294,True,False,Banglore_New Delhi
37,GoAir,2019-01-03,Banglore,New Delhi,07:45:00,2h 55m,0,No info,13663,175,0.9923182545316781,True,False,Banglore_New Delhi
38,SpiceJet,2019-01-03,Kolkata,Banglore,17:15:00,2h 30m,0,No info,5515,150,-0.774622837073634,False,False,Kolkata_Banglore
39,Jet Airways,2019-01-03,Banglore,New Delhi,07:00:00,14h 20m,1,No info,27992,860,4.099645071126243,True,False,Banglore_New Delhi
40,Jet Airways,2019-01-03,Banglore,New Delhi,22:50:00,10h 40m,1,1 Long layover,31825,640,4.930853368146759,False,False,Banglore_New Delhi
41,Jet Airways,2019-01-03,Banglore,New Delhi,22:50:00,8h 50m,1,No info,26890,530,3.860669975035294,False,False,Banglore_New Delhi
42,IndiGo,2019-01-03,Banglore,New Delhi,23:30:00,2h 50m,0,No info,10067,170,0.2125047830770018,False,False,Banglore_New Delhi
43,Air India,2019-01-03,Banglore,New Delhi,11:05:00,11h 5m,2,Change airports,13576,665,0.9734517995771295,True,False,Banglore_New Delhi
44,Jet Airways Business,2019-01-03,Banglore,New Delhi,05:45:00,5h,1,No info,52229,300,9.355579194498599,True,False,Banglore_New Delhi
45,Jet Airways,2019-01-03,Banglore,New Delhi,18:40:00,14h 50m,1,1 Long layover,31825,890,4.930853368146759,False,False,Banglore_New Delhi
46,Jet Airways,2019-01-03,Banglore,New Delhi,22:50:00,12h 35m,1,1 Long layover,31825,755,4.930853368146759,False,False,Banglore_New Delhi
47,IndiGo,2019-01-03,Banglore,New Delhi,22:20:00,2h 50m,0,No info,11934,170,0.6173745692855337,False,False,Banglore_New Delhi
48,Air India,2019-01-03,Banglore,New Delhi,05:50:00,16h 20m,2,No info,13576,980,0.9734517995771295,True,False,Banglore_New Delhi
49,Air India,2019-01-03,Banglore,New Delhi,11:50:00,25h 10m,1,1 Long layover,15434,1510,1.376369883548984,True,False,Banglore_New Delhi
50,Jet Airways,2019-01-03,Banglore,New Delhi,11:40:00,20h,1,No info,22270,1200,2.8587961602075396,True,False,Banglore_New Delhi
51,Jet Airways,2019-01-03,Banglore,New Delhi,19:55:00,2h 40m,0,No info,18308,160,1.9996134644613142,False,False,Banglore_New Delhi
52,IndiGo,2019-01-03,Banglore,New Delhi,13:00:00,2h 50m,0,No info,19685,170,2.298223906672963,False,False,Banglore_New Delhi
53,Air India,2019-01-03,Banglore,New Delhi,21:10:00,2h 45m,0,No info,25703,165,3.6032621355979466,False,False,Banglore_New Delhi
54,Jet Airways,2019-01-03,Banglore,New Delhi,08:55:00,20h 10m,1,1 Long layover,26890,1210,3.860669975035294,True,False,Banglore_New Delhi
55,Air India,2019-01-03,Banglore,New Delhi,06:10:00,2h 45m,0,No info,15676,165,1.4288489881351996,True,False,Banglore_New Delhi
56,Air India,2019-01-03,Banglore,New Delhi,09:30:00,14h 15m,1,No info,12704,855,0.7843535384234928,True,False,Banglore_New Delhi
57,Air India,2019-01-03,Banglore,New Delhi,17:00:00,19h 15m,1,No info,10246,1155,0.2513219720064754,False,False,Banglore_New Delhi
58,Jet Airways,2019-01-03,Banglore,New Delhi,07:00:00,13h 20m,1,No info,27992,800,4.099645071126243,True,False,Banglore_New Delhi
59,Jet Airways,2019-01-03,Banglore,New Delhi,22:50:00,22h 30m,1,No info,25735,1350,3.6102015213283556,False,False,Banglore_New Delhi
60,Air India,2019-01-03,Banglore,New Delhi,08:50:00,25h 45m,2,No info,31783,1545,4.921745424375597,True,False,Banglore_New Delhi
61,Vistara,2019-01-03,Banglore,New Delhi,07:00:00,2h 40m,0,No info,21520,160,2.6961543071510863,True,False,Banglore_New Delhi
62,Air India,2019-01-03,Banglore,New Delhi,05:50:00,27h 25m,1,No info,13439,1645,0.9437425544188173,True,False,Banglore_New Delhi
63,IndiGo,2019-01-03,Kolkata,Banglore,17:15:00,2h 40m,0,No info,6565,160,-0.546924242794599,False,False,Kolkata_Banglore
64,IndiGo,2019-01-03,Banglore,New Delhi,05:15:00,4h 45m,1,No Info,8064,285,-0.22185739248576697,True,False,Banglore_New Delhi
65,Jet Airways Business,2019-01-03,Banglore,New Delhi,05:45:00,6h 40m,1,Business class,62427,400,11.567074684458218,True,False,Banglore_New Delhi
66,IndiGo,2019-01-03,Kolkata,Banglore,14:20:00,2h 35m,0,No info,6565,155,-0.546924242794599,False,False,Kolkata_Banglore
67,SpiceJet,2019-01-03,Chennai,Kolkata,08:20:00,2h 15m,0,No info,7298,135,-0.38796893840742497,True,False,Chennai_Kolkata
68,Vistara,2019-01-03,Banglore,New Delhi,11:30:00,2h 40m,0,No info,12648,160,0.7722096133952775,True,False,Banglore_New Delhi
69,Air India,2019-01-03,Banglore,New Delhi,05:50:00,10h 30m,2,Change airports,15119,630,1.3080603052652733,True,False,Banglore_New Delhi
70,Jet Airways,2019-01-03,Banglore,New Delhi,08:00:00,7h 15m,1,No info,22270,435,2.8587961602075396,True,False,Banglore_New Delhi
71,Air India,2019-01-03,Banglore,New Delhi,08:50:00,39h 5m,2,No info,17135,2345,1.7452416062810208,True,False,Banglore_New Delhi
72,Air India,2019-01-03,Banglore,New Delhi,10:30:00,24h 50m,1,No info,11528,1490,0.5293311128309734,True,False,Banglore_New Delhi
73,IndiGo,2019-01-03,Banglore,New Delhi,07:10:00,2h 55m,0,No info,11934,175,0.6173745692855337,True,False,Banglore_New Delhi
74,Air India,2019-01-03,Banglore,New Delhi,13:20:00,2h 50m,0,No info,12526,170,0.7457532052980944,False,False,Banglore_New Delhi
75,Air India,2019-01-03,Banglore,New Delhi,08:50:00,24h 35m,2,No info,25430,1475,3.5440605010853976,True,False,Banglore_New Delhi
76,Vistara,2019-01-03,Banglore,New Delhi,21:10:00,2h 55m,0,No info,21730,175,2.741694026006893,False,False,Banglore_New Delhi
77,Multiple carriers,2019-01-03,Delhi,Cochin,12:50:00,6h 25m,1,No info,36983,385,6.0493956055670095,False,False,Delhi_Cochin
78,GoAir,2019-01-03,Banglore,New Delhi,20:55:00,2h 55m,0,No info,18558,175,2.053827415480132,False,False,Banglore_New Delhi
79,Air India,2019-01-03,Banglore,New Delhi,05:50:00,27h,3,No info,13081,1620,0.86610817655987,True,False,Banglore_New Delhi
80,Air India,2019-01-03,Banglore,New Delhi,00:30:00,20h,1,1 Long layover,14752,1200,1.2284742251696488,False,False,Banglore_New Delhi
81,Jet Airways,2019-01-03,Banglore,New Delhi,08:00:00,8h 10m,1,No info,22270,490,2.8587961602075396,True,False,Banglore_New Delhi
82,IndiGo,2019-01-03,Banglore,New Delhi,18:55:00,2h 50m,0,No info,14306,170,1.1317565365520776,False,False,Banglore_New Delhi
83,Jet Airways,2019-01-03,Banglore,New Delhi,14:05:00,21h 20m,1,No info,20800,1280,2.5400181282168908,False,False,Banglore_New Delhi
84,Jet Airways,2019-01-03,Banglore,New Delhi,14:05:00,5h 5m,1,No info,36235,305,5.887187464118706,False,False,Banglore_New Delhi
85,IndiGo,2019-01-03,Banglore,New Delhi,16:15:00,4h 20m,1,No Info,7917,260,-0.2537351956848319,False,False,Banglore_New Delhi
86,Jet Airways,2019-01-03,Banglore,New Delhi,05:45:00,14h 35m,1,No info,27992,875,4.099645071126243,True,False,Banglore_New Delhi
87,Jet Airways,2019-01-03,Banglore,New Delhi,05:45:00,15h 35m,1,No info,27992,935,4.099645071126243,True,False,Banglore_New Delhi
88,Jet Airways,2019-01-03,Banglore,New Delhi,22:50:00,11h 35m,1,1 Long layover,31825,695,4.930853368146759,False,False,Banglore_New Delhi
89,Air India,2019-01-03,Banglore,New Delhi,17:00:00,15h 50m,1,1 Long layover,10981,950,0.41071098800179995,False,False,Banglore_New Delhi
90,Air India,2019-01-03,Banglore,New Delhi,09:30:00,26h 35m,1,No info,12704,1595,0.7843535384234928,True,False,Banglore_New Delhi
91,Jet Airways,2019-01-03,Banglore,New Delhi,08:00:00,24h 15m,1,No info,22270,1455,2.8587961602075396,True,False,Banglore_New Delhi
92,Air India,2019-01-03,Banglore,New Delhi,11:05:00,22h 10m,1,No info,13439,1330,0.9437425544188173,True,False,Banglore_New Delhi
93,SpiceJet,2019-01-03,Banglore,New Delhi,10:20:00,7h 55m,1,No info,23267,475,3.0750013968705856,True,False,Banglore_New Delhi
94,IndiGo,2019-01-03,Delhi,Cochin,04:55:00,16h 25m,2,No info,10278,985,0.2582613577368841,False,False,Delhi_Cochin
95,IndiGo,2019-01-03,Mumbai,Hyderabad,02:30:00,1h 30m,0,No info,16000,90,1.4991102686555875,False,False,Mumbai_Hyderabad
96,Jet Airways,2019-01-03,Banglore,New Delhi,16:55:00,6h 5m,1,No info,54826,365,9.91875371768208,False,False,Banglore_New Delhi
97,SpiceJet,2019-01-03,Chennai,Kolkata,09:30:00,2h 35m,0,No info,7298,155,-0.38796893840742497,True,False,Chennai_Kolkata
98,Jet Airways,2019-01-03,Banglore,New Delhi,22:50:00,24h 10m,1,No info,25735,1450,3.6102015213283556,False,False,Banglore_New Delhi
99,Air India,2019-01-03,Banglore,New Delhi,22:00:00,15h 20m,1,No info,21130,920,2.6115805435617303,False,False,Banglore_New Delhi
100,Jet Airways,2019-01-03,Banglore,New Delhi,08:00:00,10h 25m,1,No info,26890,625,3.860669975035294,True,False,Banglore_New Delhi
101,IndiGo,2019-01-03,Chennai,Kolkata,14:40:00,2h 25m,0,No info,7295,145,-0.38861950581965077,False,False,Chennai_Kolkata
102,SpiceJet,2019-01-03,Banglore,New Delhi,09:35:00,2h 55m,0,No info,11690,175,0.5644617530911674,True,False,Banglore_New Delhi
103,Jet Airways,2019-01-03,Banglore,New Delhi,14:05:00,7h 15m,1,No info,36235,435,5.887187464118706,False,False,Banglore_New Delhi
104,Air Asia,2019-01-03,Kolkata,Banglore,10:20:00,2h 35m,0,No info,5620,155,-0.7518529776457304,True,False,Kolkata_Banglore
105,Jet Airways,2019-01-03,Banglore,New Delhi,07:00:00,5h 25m,1,No info,26890,325,3.860669975035294,True,False,Banglore_New Delhi
106,Jet Airways,2019-01-03,Banglore,New Delhi,08:55:00,15h 50m,1,No info,26890,950,3.860669975035294,True,False,Banglore_New Delhi
107,Vistara,2019-01-03,Banglore,New Delhi,19:40:00,2h 40m,0,No info,21730,160,2.741694026006893,False,False,Banglore_New Delhi
108,Air India,2019-01-03,Banglore,New Delhi,08:50:00,38h 35m,2,No info,25430,2315,3.5440605010853976,True,False,Banglore_New Delhi
109,Jet Airways,2019-01-03,Banglore,New Delhi,14:05:00,17h 35m,1,1 Long layover,22270,1055,2.8587961602075396,False,False,Banglore_New Delhi
110,Jet Airways,2019-01-03,Banglore,New Delhi,16:55:00,16h 5m,1,1 Long layover,25735,965,3.6102015213283556,False,False,Banglore_New Delhi
111,IndiGo,2019-01-03,Banglore,New Delhi,20:00:00,2h 55m,0,No info,14306,175,1.1317565365520776,False,False,Banglore_New Delhi
112,Jet Airways,2019-01-03,Banglore,New Delhi,20:35:00,14h 50m,1,No info,31825,890,4.930853368146759,False,False,Banglore_New Delhi
113,Air India,2019-01-03,Chennai,Kolkata,11:40:00,2h 15m,0,No info,19630,135,2.286296837448823,True,False,Chennai_Kolkata
